Selection	Begin Time (s)	End Time (s)	View	Channel	Low Freq (Hz)	High Freq (Hz)	Error Type	Confidence	Fold
1	14.0	16.0	Spectrogram 1	1	0	22050	false_positive	0.5563251838186352	5
2	18.0	20.0	Spectrogram 1	1	0	22050	false_positive	0.5150244699017978	5
3	28.0	30.0	Spectrogram 1	1	0	22050	false_positive	0.8097357171380292	5
4	30.0	32.0	Spectrogram 1	1	0	22050	false_positive	0.5801070162398483	5
5	36.0	38.0	Spectrogram 1	1	0	22050	false_positive	0.7705405321808898	5
6	38.0	40.0	Spectrogram 1	1	0	22050	false_positive	0.9356098744257315	5
7	40.0	42.0	Spectrogram 1	1	0	22050	false_positive	0.9035422776595815	5
8	46.0	48.0	Spectrogram 1	1	0	22050	false_positive	0.8008140142056065	5
9	48.0	50.0	Spectrogram 1	1	0	22050	false_positive	0.6634316934021773	5
10	50.0	52.0	Spectrogram 1	1	0	22050	false_positive	0.6116155599183192	5
11	2.0	4.0	Spectrogram 1	1	0	22050	false_negative	0.06565739701508633	5
12	4.0	6.0	Spectrogram 1	1	0	22050	false_negative	0.17823792039833414	5
13	10.0	12.0	Spectrogram 1	1	0	22050	false_negative	0.49517791553949825	5
14	22.0	24.0	Spectrogram 1	1	0	22050	false_negative	0.457385065429028	5
15	6.0	8.0	Spectrogram 1	1	0	22050	true_positive	0.6854304720736688	5
16	54.0	56.0	Spectrogram 1	1	0	22050	true_positive	0.5372438534628469	5
