Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Predicted Label	Classification Type	Model Probability	Fold
1	Spectrogram 1	1	0.0	2.0	0	22050	MYLO_C	true_positive	0.9892	1
2	Spectrogram 1	1	1.5	3.5	0	22050	MYLO_C	true_positive	0.8842	1
3	Spectrogram 1	1	3.0	5.0	0	22050	MYLO_C	true_positive	0.9843	1
4	Spectrogram 1	1	4.5	6.5	0	22050	MYLO_C	true_positive	0.9999	1
5	Spectrogram 1	1	6.0	8.0	0	22050	MYLO_C	false_negative	0.0	1
6	Spectrogram 1	1	7.5	9.5	0	22050	MYLO_C	true_positive	0.9833	1
7	Spectrogram 1	1	9.0	11.0	0	22050	MYLO_C	true_positive	0.9999	1
8	Spectrogram 1	1	10.5	12.5	0	22050	MYLO_C	true_positive	0.9996	1
9	Spectrogram 1	1	12.0	14.0	0	22050	MYLO_C	true_positive	1.0	1
10	Spectrogram 1	1	13.5	15.5	0	22050	MYLO_C	true_positive	0.9999	1
11	Spectrogram 1	1	15.0	17.0	0	22050	MYLO_C	true_positive	1.0	1
12	Spectrogram 1	1	16.5	18.5	0	22050	MYLO_C	true_positive	0.9973	1
13	Spectrogram 1	1	18.0	20.0	0	22050	MYLO_C	true_positive	1.0	1
14	Spectrogram 1	1	19.5	21.5	0	22050	MYLO_C	true_positive	1.0	1
15	Spectrogram 1	1	21.0	23.0	0	22050	MYLO_C	true_positive	0.9987	1
16	Spectrogram 1	1	22.5	24.5	0	22050	MYLO_C	true_positive	0.8337	1
17	Spectrogram 1	1	24.0	26.0	0	22050	MYLO_C	true_positive	0.9497	1
18	Spectrogram 1	1	25.5	27.5	0	22050	MYLO_C	true_positive	0.9997	1
19	Spectrogram 1	1	27.0	29.0	0	22050	MYLO_C	true_positive	0.9935	1
20	Spectrogram 1	1	28.5	30.5	0	22050	MYLO_C	true_positive	0.8351	1
21	Spectrogram 1	1	30.0	32.0	0	22050	MYLO_C	false_negative	0.3357	1
22	Spectrogram 1	1	34.5	36.5	0	22050	MYLO_C	true_positive	1.0	1
23	Spectrogram 1	1	36.0	38.0	0	22050	MYLO_C	true_positive	1.0	1
24	Spectrogram 1	1	37.5	39.5	0	22050	MYLO_C	true_positive	0.9165	1
25	Spectrogram 1	1	39.0	41.0	0	22050	MYLO_C	true_positive	0.9998	1
26	Spectrogram 1	1	40.5	42.5	0	22050	MYLO_C	false_negative	0.0007	1
27	Spectrogram 1	1	42.0	44.0	0	22050	MYLO_C	false_positive	0.9999	1
28	Spectrogram 1	1	43.5	45.5	0	22050	MYLO_C	true_positive	1.0	1
29	Spectrogram 1	1	45.0	47.0	0	22050	MYLO_C	true_positive	0.9999	1
30	Spectrogram 1	1	48.0	50.0	0	22050	MYLO_C	true_positive	1.0	1
31	Spectrogram 1	1	51.0	53.0	0	22050	MYLO_C	false_positive	0.6796	1
32	Spectrogram 1	1	52.5	54.5	0	22050	MYLO_C	true_positive	1.0	1
33	Spectrogram 1	1	54.0	56.0	0	22050	MYLO_C	true_positive	1.0	1
34	Spectrogram 1	1	55.5	57.5	0	22050	MYLO_C	true_positive	0.9995	1
35	Spectrogram 1	1	57.0	59.0	0	22050	MYLO_C	true_positive	0.9998	1
