Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Predicted Label	Classification Type	Model Probability	Fold
1	Spectrogram 1	1	1.5	3.5	0	22050	MYLO_C	true_positive	0.9995	1
2	Spectrogram 1	1	3.0	5.0	0	22050	MYLO_C	true_positive	0.9989	1
3	Spectrogram 1	1	4.5	6.5	0	22050	MYLO_C	true_positive	1.0	1
4	Spectrogram 1	1	6.0	8.0	0	22050	MYLO_C	false_negative	0.0031	1
5	Spectrogram 1	1	7.5	9.5	0	22050	MYLO_C	true_positive	1.0	1
6	Spectrogram 1	1	21.0	23.0	0	22050	MYLO_C	false_negative	0.0004	1
7	Spectrogram 1	1	22.5	24.5	0	22050	MYLO_C	true_positive	1.0	1
8	Spectrogram 1	1	33.0	35.0	0	22050	MYLO_C	false_negative	0.0029	1
