Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Predicted Label	Classification Type	Model Probability	Fold
1	Spectrogram 1	1	22.0	24.0	0	22050	MYSP_C1	false_positive	0.6776	3
2	Spectrogram 1	1	24.0	26.0	0	22050	MYSP_C1	false_positive	0.5805	3
3	Spectrogram 1	1	28.0	30.0	0	22050	MYSP_C1	false_positive	0.5849	3
4	Spectrogram 1	1	32.0	34.0	0	22050	MYSP_C1	false_positive	0.5031	3
5	Spectrogram 1	1	36.0	38.0	0	22050	MYSP_C1	false_positive	0.5547	3
6	Spectrogram 1	1	44.0	46.0	0	22050	MYSP_C1	false_positive	0.4935	3
7	Spectrogram 1	1	48.0	50.0	0	22050	MYSP_C1	false_positive	0.5132	3
8	Spectrogram 1	1	54.0	56.0	0	22050	MYSP_C1	false_positive	0.5153	3
