fold,audio_file,begin_time,end_time,label,score,actual,pred,error_type
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,THAR_B1,0.023084531429675717,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,NOISE,0.5326377154779398,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,28.0,30.0,THAR_B2,0.8015041891309435,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,28.0,30.0,THAR_B1,0.13054927990058968,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,30.0,32.0,THAR_B2,0.5446129106481613,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,30.0,32.0,MYLO_C2,0.6780845813201964,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,30.0,32.0,HARU_C2,0.7243686865675253,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,30.0,32.0,NOISE,0.027877651216156464,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,THAR_B2,0.274003909468042,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,44.0,46.0,HARU_C2,0.6272873379933697,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,50.0,52.0,HARU_C2,0.8294111796723225,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL13_HAWK_19JUN2024_VILLAANA_MADREDEDIOS.wav,56.0,58.0,HARU_C2,0.6641837881260511,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,0.0,2.0,THAR_P1,0.4643142376917729,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,2.0,4.0,THAR_P1,0.1927354919295495,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,4.0,6.0,THAR_B2,0.18323475691032665,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,6.0,8.0,HARU_C1,0.42175988046903395,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,6.0,8.0,THAR_B2,0.1559779819644235,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,8.0,10.0,THAR_B2,0.11998987844334215,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,10.0,12.0,THAR_B2,0.10800271381309783,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,THAR_B2,0.07732746601513246,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,MYME_C1,0.06078670810539544,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,HARU_C2,0.6652621176938189,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,HARU_C1,0.4281068275505164,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,THAR_B2,0.3479221970615014,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,16.0,18.0,THAR_B2,0.08148325614485608,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,16.0,18.0,MYME_C1,0.023146798009707693,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,18.0,20.0,THAR_B2,0.02642607222702017,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,20.0,22.0,THAR_B2,0.34301538944648957,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,20.0,22.0,HARU_C2,0.5348873816416821,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,22.0,24.0,THAR_B2,0.014940665174586342,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,THAR_B2,0.027119500833529833,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,MYME_C1,0.054355490180972264,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,HARU_C2,0.6292646061019316,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,32.0,34.0,THAR_B2,0.02757424695581265,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,32.0,34.0,NOISE,0.6212240579758709,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,THAR_B2,0.049233409752277454,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,MYME_C1,0.007384568829694705,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,34.0,36.0,NOISE,0.8992584380633919,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,THAR_B2,0.14274947800823962,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,THAR_B1,0.583265122278169,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,MYME_C1,0.11430890671011329,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,HARU_C2,0.3364036537069732,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,38.0,40.0,THAR_B2,0.02019040714943904,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,40.0,42.0,THAR_B2,0.015482295284482986,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,40.0,42.0,MYME_C1,0.08959317738838933,1,0,false_negative
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,40.0,42.0,NOISE,0.6990448484471268,0,1,false_positive
1,FFL-Annotations/Audio/TRIAL15_MODEL_23JUN2024_VILLAANA_MADREDEDIOS.wav,42.0,44.0,THAR_B2,0.5659102441724557,0,1,false_positive
