fold,audio_file,begin_time,end_time,label,probability,error_type
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,THAR_B1,0.454208418474501,false_negative
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,THAR_B1,0.8440743892902027,false_positive
1,FFL-Annotations/Audio/TRIAL16_HAWK_22JUN2024_VILLAANA_MADREDEDIOS.wav,52.0,54.0,THAR_B1,0.4510071844604215,false_negative
1,FFL-Annotations/Audio/TRIAL18_HAWK_23JUN2024_VILLAANA_MADREDEDIOS.wav,16.0,18.0,THAR_B1,0.5601270741885873,false_positive
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,6.0,8.0,THAR_B1,0.23557719229543286,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,8.0,10.0,THAR_B1,0.32733605865138654,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,12.0,14.0,THAR_B1,0.20624430369439012,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,14.0,16.0,THAR_B1,0.3453321333145783,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,24.0,26.0,THAR_B1,0.2502766518178084,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,26.0,28.0,THAR_B1,0.16253375390887626,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,36.0,38.0,THAR_B1,0.2834342935659454,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,50.0,52.0,THAR_B1,0.34279160675300113,false_negative
1,FFL-Annotations/Audio/TRIAL23_HAWK_26JUN2024_VILLAANA_MADREDEDIOS.wav,52.0,54.0,THAR_B1,0.28142669907688883,false_negative
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,4.0,6.0,THAR_B1,0.7639326335274125,false_positive
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,46.0,48.0,THAR_B1,0.6698706466140588,false_positive
1,FFL-Annotations/Audio/TRIAL2_HAWK_12JUN2024_VILLAANA_MADREDEDIOS.wav,58.0,60.0,THAR_B1,0.5173291080405396,false_positive
