Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Predicted Label	Classification Type	Model Probability	Fold
1	Spectrogram 1	1	0.0	2.0	0	22050	THAR_P	true_positive	0.875	5
2	Spectrogram 1	1	2.0	4.0	0	22050	THAR_P	true_positive	0.9292	5
3	Spectrogram 1	1	4.0	6.0	0	22050	THAR_P	true_positive	0.9877	5
4	Spectrogram 1	1	8.0	10.0	0	22050	THAR_P	true_positive	0.9058	5
5	Spectrogram 1	1	10.0	12.0	0	22050	THAR_P	false_negative	0.3751	5
6	Spectrogram 1	1	12.0	14.0	0	22050	THAR_P	true_positive	0.802	5
7	Spectrogram 1	1	30.0	32.0	0	22050	THAR_P	true_positive	0.9548	5
8	Spectrogram 1	1	42.0	44.0	0	22050	THAR_P	true_positive	0.8573	5
